id,query,ground_truth,predicted,correct,votes,num_docs_retrieved
pubmed_248,Does a geriatric oncology consultation modify the cancer treatment plan for elderly patients?,yes,yes,True,['yes'],5
pubmed_249,Can students' scores on preclerkship clinical performance examinations predict that they will fail a senior clinical performance examination?,yes,yes,True,['yes'],5
pubmed_250,Adults with mild intellectual disabilities: can their reading comprehension ability be improved?,yes,yes,True,['yes'],5
pubmed_251,Can nurse-led preoperative education reduce anxiety and postoperative complications of patients undergoing cardiac surgery?,yes,yes,True,['yes'],5
pubmed_252,Is there a relationship between homocysteine and vitiligo?,yes,yes,True,['yes'],5
pubmed_253,Does para-cervical block offer additional advantages in abortion induction with gemeprost in the 2nd trimester?,yes,no,False,['no'],5
pubmed_254,Is a 9-month treatment sufficient in tuberculous enterocolitis?,yes,maybe,False,['maybe'],5
pubmed_255,Reporting and interpreting red blood cell morphology: is there discordance between clinical pathologists and clinicians?,yes,yes,True,['yes'],5
pubmed_256,The inverse equity hypothesis: does it apply to coverage of cancer screening in middle-income countries?,yes,no,False,['no'],5
pubmed_257,Menopausal hormone therapy and irregular endometrial bleeding: a potential role for uterine natural killer cells?,yes,maybe,False,['maybe'],5
pubmed_258,Can we ease the financial burden of colonoscopy?,yes,yes,True,['yes'],5
pubmed_259,Does open access publishing increase the impact of scientific articles?,yes,maybe,False,['maybe'],5
pubmed_260,Can biofeedback training of psychophysiological responses enhance athletes' sport performance?,yes,maybe,False,['maybe'],5
pubmed_261,Are patients willing participants in the new wave of community-based medical education in regional and rural Australia?,yes,yes,True,['yes'],5
pubmed_262,Are pectins involved in cold acclimation and de-acclimation of winter oil-seed rape plants?,yes,yes,True,['yes'],5
pubmed_263,The HELPP syndrome--evidence of a possible systemic inflammatory response in pre-eclampsia?,yes,maybe,False,['maybe'],5
pubmed_264,Optimism and survival: does an optimistic outlook predict better survival at advanced ages?,yes,yes,True,['yes'],5
pubmed_265,Is combined therapy more effective than growth hormone or hyperbaric oxygen alone in the healing of left ischemic and non-ischemic colonic anastomoses?,yes,maybe,False,['maybe'],5
pubmed_266,The promise of specialty pharmaceuticals: are they worth the price?,yes,maybe,False,['maybe'],5
pubmed_267,A comparison of 500 prefilled textured saline breast implants versus 500 standard textured saline breast implants: is there a difference in deflation rates?,yes,maybe,False,['maybe'],5
pubmed_268,Is withdrawal-induced anxiety in alcoholism based on beta-endorphin deficiency?,yes,maybe,False,['maybe'],5
pubmed_269,Cardiac reoperations in octogenarians: Do they really benefit?,yes,maybe,False,['maybe'],5
pubmed_270,Is first-line single-agent mitoxantrone in the treatment of high-risk metastatic breast cancer patients as effective as combination chemotherapy?,yes,maybe,False,['maybe'],5
pubmed_271,Can clinical supervision sustain our workforce in the current healthcare landscape?,yes,maybe,False,['maybe'],5
pubmed_272,Can distal ureteral diameter predict reflux resolution after endoscopic injection?,yes,yes,True,['yes'],5
pubmed_273,Is lumbar drainage of postoperative cerebrospinal fluid fistula after spine surgery effective?,yes,maybe,False,['maybe'],5
pubmed_274,Assessing joint line positions by means of the contralateral knee: a new approach for planning knee revision surgery?,yes,yes,True,['yes'],5
pubmed_275,Can myometrial electrical activity identify patients in preterm labor?,yes,maybe,False,['maybe'],5
pubmed_276,Does the Transmissible Liability Index (TLI) assessed in late childhood predict suicidal symptoms at young adulthood?,yes,yes,True,['yes'],5
pubmed_277,Does strategy training reduce age-related deficits in working memory?,no,no,True,['no'],5
pubmed_278,Does the sex of acute stroke patients influence the effectiveness of rt-PA?,no,no,True,['no'],5
pubmed_279,Does the early adopter of drugs exist?,no,maybe,False,['maybe'],5
pubmed_280,Can 'high-risk' human papillomaviruses (HPVs) be detected in human breast milk?,no,no,True,['no'],5
pubmed_281,Is nasogastric decompression useful in prevention of leaks after laparoscopic sleeve gastrectomy?,no,no,True,['no'],5
pubmed_282,"Regional anesthesia as compared with general anesthesia for surgery in geriatric patients with hip fracture: does it decrease morbidity, mortality, and health care costs?",no,no,True,['no'],5
pubmed_283,Double reading of barium enemas: is it necessary?,no,maybe,False,['maybe'],5
pubmed_284,"Is there any evidence of a ""July effect"" in patients undergoing major cancer surgery?",no,maybe,False,['maybe'],5
pubmed_285,Characterization of the gender dimorphism after injury and hemorrhagic shock: are hormonal differences responsible?,no,maybe,False,['maybe'],5
pubmed_286,Cardiogenic shock complicating acute myocardial infarction in elderly patients: does admission to a tertiary center improve survival?,no,no,True,['no'],5
pubmed_287,Sub-classification of low-grade cerebellar astrocytoma: is it clinically meaningful?,no,no,True,['no'],5
pubmed_288,Department of Transportation vs self-reported data on motor vehicle collisions and driving convictions for stroke survivors: do they agree?,no,no,True,['no'],5
pubmed_289,Cholesterol screening in school children: is family history reliable to choose the ones to screen?,no,yes,False,['yes'],5
pubmed_290,Did the call for boycott by the Catholic bishops affect the polio vaccination coverage in Kenya in 2015?,no,no,True,['no'],5
pubmed_291,Does early discharge with nurse home visits affect adequacy of newborn metabolic screening?,no,maybe,False,['maybe'],5
pubmed_292,Is alexithymia a risk factor for unexplained physical symptoms in general medical outpatients?,no,no,True,['no'],5
pubmed_293,Are sports medicine journals relevant and applicable to practitioners and athletes?,no,yes,False,['yes'],5
pubmed_294,Does quantitative left ventricular regional wall motion change after fibrous tissue resection in endomyocardial fibrosis?,no,no,True,['no'],5
pubmed_295,Does gestational age misclassification explain the difference in birthweights for Australian aborigines and whites?,no,maybe,False,['maybe'],5
pubmed_296,Utility of unenhanced fat-suppressed T1-weighted MRI in children with sickle cell disease -- can it differentiate bone infarcts from acute osteomyelitis?,no,no,True,['no'],5
pubmed_297,Do African American women require fewer calories to maintain weight?,no,maybe,False,['maybe'],5
pubmed_298,The use of audit to identify maternal mortality in different settings: is it just a difference between the rich and the poor?,no,maybe,False,['maybe'],5
pubmed_299,Are wandering and physically nonaggressive agitation equivalent?,no,maybe,False,['maybe'],5
pubmed_300,Is the covering of the resection margin after distal pancreatectomy advantageous?,no,maybe,False,['maybe'],5
pubmed_301,Does continuous intravenous infusion of low-concentration epinephrine impair uterine blood flow in pregnant ewes?,no,yes,False,['yes'],5
pubmed_302,Do healthier lifestyles lead to less utilization of healthcare resources?,no,yes,False,['yes'],5
pubmed_303,Do risk factors for suicidal behavior differ by affective disorder polarity?,no,no,True,['no'],5
pubmed_304,Thrombosis prophylaxis in hospitalised medical patients: does prophylaxis in all patients make sense?,no,no,True,['no'],5
pubmed_305,Is late-night salivary cortisol a better screening test for possible cortisol excess than standard screening tests in obese patients with Type 2 diabetes?,no,no,True,['no'],5
pubmed_306,Does escalation of the apical dose change treatment outcome in beta-radiation of posterior choroidal melanomas with 106Ru plaques?,no,maybe,False,['maybe'],5
pubmed_307,Estradiol and Antagonist Pretreatment Prior to Microdose Leuprolide in in Vitro Fertilization. Does It Improve IVF Outcomes in Poor Responders as Compared to Oral Contraceptive Pill?,no,maybe,False,['maybe'],5
pubmed_308,Do risk calculators accurately predict surgical site occurrences?,no,no,True,['no'],5
pubmed_309,Is diffusion-weighted imaging a significant indicator of the development of vascularization in hypovascular hepatocellular lesions?,no,no,True,['no'],5
pubmed_310,Does confined placental mosaicism account for adverse perinatal outcomes in IVF pregnancies?,no,yes,False,['yes'],5
pubmed_311,Do elderly cancer patients have different care needs compared with younger ones?,no,yes,False,['yes'],5
pubmed_312,Does increased nerve length within the treatment volume improve trigeminal neuralgia radiosurgery?,no,maybe,False,['maybe'],5
pubmed_313,Amblyopia: is visual loss permanent?,no,maybe,False,['maybe'],5
pubmed_314,Are physicians meeting the needs of family caregivers of the frail elderly?,no,maybe,False,['maybe'],5
pubmed_315,Will CT ordering practices change if we educate residents about the potential effects of radiation exposure?,no,no,True,['no'],5
pubmed_316,Is arch form influenced by sagittal molar relationship or Bolton tooth-size discrepancy?,no,no,True,['no'],5
pubmed_317,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,no,maybe,False,['maybe'],5
pubmed_318,Should temperature be monitorized during kidney allograft preservation?,no,yes,False,['yes'],5
pubmed_319,Should all human immunodeficiency virus-infected patients with end-stage renal disease be excluded from transplantation?,no,no,True,['no'],5
pubmed_320,Does minimal access major surgery in the newborn hurt less?,no,maybe,False,['maybe'],5
pubmed_321,Does increased patient awareness improve accrual into cancer-related clinical trials?,no,maybe,False,['maybe'],5
pubmed_322,Continuity of care experience of residents in an academic vascular department: are trainees learning complete surgical care?,no,maybe,False,['maybe'],5
pubmed_323,Health habits and vaccination status of Lebanese residents: are future doctors applying the rules of prevention?,no,maybe,False,['maybe'],5
pubmed_324,Landolt C and snellen e acuity: differences in strabismus amblyopia?,no,no,True,['no'],5
pubmed_325,The insertion allele of the ACE gene I/D polymorphism. A candidate gene for insulin resistance?,no,no,True,['no'],5
pubmed_326,Is fetal gender associated with emergency department visits for asthma during pregnancy?,no,no,True,['no'],5
pubmed_327,Blunt trauma in intoxicated patients: is computed tomography of the abdomen always necessary?,no,maybe,False,['maybe'],5
pubmed_328,Risk factors for avascular necrosis of bone in patients with systemic lupus erythematosus: is there a role for antiphospholipid antibodies?,no,no,True,['no'],5
pubmed_329,Volume change of uterine myomas during pregnancy: do myomas really grow?,no,yes,False,['yes'],5
pubmed_330,Do foreign bodies migrate through the body towards the heart?,no,yes,False,['yes'],5
pubmed_331,Does concomitant anterior/apical repair during midurethral sling improve the overactive bladder component of mixed incontinence?,no,maybe,False,['maybe'],5
pubmed_332,Is hypoalbuminemia an independent prognostic factor in patients with gastric cancer?,no,maybe,False,['maybe'],5
pubmed_333,Is adjustment for reporting heterogeneity necessary in sleep disorders?,no,maybe,False,['maybe'],5
pubmed_334,Can the growth rate of a gallbladder polyp predict a neoplastic polyp?,no,no,True,['no'],5
pubmed_335,Preoperative locoregional staging of gastric cancer: is there a place for magnetic resonance imaging?,no,maybe,False,['maybe'],5
pubmed_336,Are hepatitis G virus and TT virus involved in cryptogenic chronic liver disease?,no,maybe,False,['maybe'],5
pubmed_337,Are patients with Werlhof's disease at increased risk for bleeding complications when undergoing cardiac surgery?,no,yes,False,['yes'],5
pubmed_338,Does Mammographic Density have an Impact on the Margin Re-excision Rate After Breast-Conserving Surgery?,no,no,True,['no'],5
pubmed_339,Are UK radiologists satisfied with the training and support received in suspected child abuse?,no,no,True,['no'],5
pubmed_340,Do oblique views add value in the diagnosis of spondylolysis in adolescents?,no,no,True,['no'],5
pubmed_341,The clinical significance of bile duct sludge: is it different from bile duct stones?,no,no,True,['no'],5
pubmed_342,Can bedside assessment reliably exclude aspiration following acute stroke?,no,no,True,['no'],5
pubmed_343,Does frozen section alter surgical management of multinodular thyroid disease?,no,maybe,False,['maybe'],5
pubmed_344,Does type 1 diabetes mellitus affect Achilles tendon response to a 10 km run?,no,no,True,['no'],5
pubmed_345,Are higher rates of depression in women accounted for by differential symptom reporting?,no,maybe,False,['maybe'],5
pubmed_346,Do Indigenous Australians age prematurely?,no,maybe,False,['maybe'],5
pubmed_347,Adjuvant radiation of stage III thymoma: is it necessary?,no,no,True,['no'],5
pubmed_348,Are patients with diabetes receiving the same message from dietitians and nurses?,no,maybe,False,['maybe'],5
pubmed_349,"Do lipids, blood pressure, diabetes, and smoking confer equal risk of myocardial infarction in women as in men?",no,no,True,['no'],5
pubmed_350,Diabetes mellitus among Swedish art glass workers--an effect of arsenic exposure?,no,yes,False,['yes'],5
pubmed_351,Preoperative staging of patients with liver metastases of colorectal carcinoma. Does PET/CT really add something to multidetector CT?,no,no,True,['no'],5
pubmed_352,Epidural analgesia for surgical treatment of peritoneal carcinomatosis: a risky technique?,no,yes,False,['yes'],5
pubmed_353,Do acute changes in heart rate by isoproterenol affect aortic stiffness in patients with hypertension?,no,maybe,False,['maybe'],5
pubmed_354,Totally implantable venous access device placement by interventional radiologists: are prophylactic antibiotics necessary?,no,maybe,False,['maybe'],5
pubmed_355,Does increasing blood pH stimulate protein synthesis in dialysis patients?,no,no,True,['no'],5
pubmed_356,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,no,maybe,False,['maybe'],5
pubmed_357,MR arthrography of the shoulder: do we need local anesthesia?,no,maybe,False,['maybe'],5
pubmed_358,Prognosis of low-tone sudden deafness - does it inevitably progress to Meniere's disease?,no,no,True,['no'],5
pubmed_359,Is there a relationship between complex fractionated atrial electrograms recorded during atrial fibrillation and sinus rhythm fractionation?,no,maybe,False,['maybe'],5
pubmed_360,Is bicompartmental knee arthroplasty more favourable to knee muscle strength and physical performance compared to total knee arthroplasty?,no,no,True,['no'],5
pubmed_361,Does pain intensity predict a poor opioid response in cancer patients?,no,no,True,['no'],5
pubmed_362,Does the radiographic transition zone correlate with the level of aganglionosis on the specimen in Hirschsprung's disease?,no,no,True,['no'],5
pubmed_363,Serovar specific immunity to Neisseria gonorrhoeae: does it exist?,no,no,True,['no'],5
pubmed_364,Is calibration the cause of variation in liquid chromatography tandem mass spectrometry testosterone measurement?,no,yes,False,['yes'],5
pubmed_365,Internal derangement of the temporomandibular joint: is there still a place for ultrasound?,no,no,True,['no'],5
pubmed_366,Does delivery mode affect women's postpartum quality of life in rural China?,no,no,True,['no'],5
pubmed_367,Endovenous laser ablation in the treatment of small saphenous varicose veins: does site of access influence early outcomes?,no,maybe,False,['maybe'],5
pubmed_368,Is there a role for fondaparinux in perioperative bridging?,no,maybe,False,['maybe'],5
pubmed_369,Is it better to be big?,no,maybe,False,['maybe'],5
pubmed_370,Chemotherapy and survival in advanced non-small cell lung carcinoma: is pneumologists' skepticism justified?,no,maybe,False,['maybe'],5
pubmed_371,The association of puberty and young adolescent alcohol use: do parents have a moderating role?,no,yes,False,['yes'],5
pubmed_372,Does increased use of private health care reduce the demand for NHS care?,no,maybe,False,['maybe'],5
pubmed_373,Is decompressive surgery effective for spinal cord sarcoidosis accompanied with compressive cervical myelopathy?,no,maybe,False,['maybe'],5
pubmed_374,Does the aggressive use of polyvalent antivenin for rattlesnake bites result in serious acute side effects?,no,no,True,['no'],5
pubmed_375,Does successful completion of the Perinatal Education Programme result in improved obstetric practice?,no,no,True,['no'],5
pubmed_376,Can surgeon familiarization with current evidence lead to a change in practice?,no,yes,False,['yes'],5
pubmed_377,Kell alloimmunization in pregnancy: associated with fetal thrombocytopenia?,no,yes,False,['yes'],5
pubmed_378,Globulomaxillary cysts--do they really exist?,no,yes,False,['yes'],5
pubmed_379,Colorectal cancer with synchronous liver metastases: does global management at the same centre improve results?,no,maybe,False,['maybe'],5
pubmed_380,Are octogenarians at high risk for carotid endarterectomy?,no,yes,False,['yes'],5
pubmed_381,Is there a need for pelvic CT scan in cases of renal cell carcinoma?,no,yes,False,['yes'],5
pubmed_382,Should circumcision be performed in childhood?,no,maybe,False,['maybe'],5
pubmed_383,Does the Simultaneous Use of a Neuroendoscope Influence the Incidence of Ventriculoperitoneal Shunt Infection?,no,maybe,False,['maybe'],5
pubmed_384,Is the probability of prenatal diagnosis or termination of pregnancy different for fetuses with congenital anomalies conceived following assisted reproductive techniques?,no,maybe,False,['maybe'],5
pubmed_385,Is There an Additional Value of Using Somatostatin Receptor Subtype 2a Immunohistochemistry Compared to Somatostatin Receptor Scintigraphy Uptake in Predicting Gastroenteropancreatic Neuroendocrine Tumor Response?,no,maybe,False,['maybe'],5
pubmed_386,Does growth hormone replacement therapy reduce mortality in adults with growth hormone deficiency?,no,no,True,['no'],5
pubmed_387,Can decisional algorithms replace global introspection in the individual causality assessment of spontaneously reported ADRs?,no,no,True,['no'],5
pubmed_388,Sternal skin conductance: a reasonable surrogate for hot flash measurement?,no,no,True,['no'],5
pubmed_389,Is the Androgen Deficiency of Aging Men (ADAM) questionnaire useful for the screening of partial androgenic deficiency of aging men?,no,maybe,False,['maybe'],5
pubmed_390,Does a history of unintended pregnancy lessen the likelihood of desire for sterilization reversal?,no,no,True,['no'],5
pubmed_391,Can we measure mesopic pupil size with the cobalt blue light slit-lamp biomicroscopy method?,no,maybe,False,['maybe'],5
pubmed_392,Does stress increase imitation of drinking behavior?,no,no,True,['no'],5
pubmed_393,Do clinical variables predict pathologic radiographs in the first episode of wheezing?,no,no,True,['no'],5
pubmed_394,"Is distance to provider a barrier to care for medicaid patients with breast, colorectal, or lung cancer?",no,yes,False,['yes'],5
pubmed_395,Laminoplasty outcomes: is there a difference between patients with degenerative stenosis and those with ossification of the posterior longitudinal ligament?,no,maybe,False,['maybe'],5
pubmed_396,Do overweight children necessarily make overweight adults?,no,no,True,['no'],5
pubmed_397,Does patient position during liver surgery influence the risk of venous air embolism?,no,yes,False,['yes'],5
pubmed_398,Is routine chest radiography after transbronchial biopsy necessary?,no,maybe,False,['maybe'],5
pubmed_399,Can folic acid protect against congenital heart defects in Down syndrome?,no,maybe,False,['maybe'],5
pubmed_400,Location and number of sutures placed for hiatal hernia repair during laparoscopic adjustable gastric banding: does it matter?,no,maybe,False,['maybe'],5
pubmed_401,Does the distribution of health care benefits in Kenya meet the principles of universal coverage?,no,maybe,False,['maybe'],5
pubmed_402,Are women with major depression in pregnancy identifiable in population health data?,no,no,True,['no'],5
pubmed_403,Can bone thickness and inter-radicular space affect miniscrew placement in posterior mandibular sites?,no,yes,False,['yes'],5
pubmed_404,SPECT study with I-123-Ioflupane (DaTSCAN) in patients with essential tremor. Is there any correlation with Parkinson's disease?,no,maybe,False,['maybe'],5
pubmed_405,Are many colorectal cancers due to missed adenomas?,no,no,True,['no'],5
pubmed_406,Clinician assessment for acute chest syndrome in febrile patients with sickle cell disease: is it accurate enough?,no,maybe,False,['maybe'],5
pubmed_407,Can nonproliferative breast disease and proliferative breast disease without atypia be distinguished by fine-needle aspiration cytology?,no,no,True,['no'],5
pubmed_408,Is vancomycin MIC creep a worldwide phenomenon?,no,maybe,False,['maybe'],5
pubmed_409,Is vitamin D deficiency a feature of pediatric celiac disease?,no,yes,False,['yes'],5
pubmed_410,Is renal warm ischemia over 30 minutes during laparoscopic partial nephrectomy possible?,no,yes,False,['yes'],5
pubmed_411,PSA repeatedly fluctuating levels are reassuring enough to avoid biopsy?,no,no,True,['no'],5
pubmed_412,Does immediate breast reconstruction compromise the delivery of adjuvant chemotherapy?,no,maybe,False,['maybe'],5
pubmed_413,Prognosis of well differentiated small hepatocellular carcinoma--is well differentiated hepatocellular carcinoma clinically early cancer?,no,maybe,False,['maybe'],5
pubmed_414,Does a preoperative medically supervised weight loss program improve bariatric surgery outcomes?,no,no,True,['no'],5
pubmed_415,Bony defects in chronic anterior posttraumatic dislocation of the shoulder: Is there a correlation between humeral and glenoidal lesions?,no,yes,False,['yes'],5
pubmed_416,Does the bracket-ligature combination affect the amount of orthodontic space closure over three months?,no,no,True,['no'],5
pubmed_417,Can increases in the cigarette tax rate be linked to cigarette retail prices?,no,maybe,False,['maybe'],5
pubmed_418,Attaining negative margins in breast-conservation operations: is there a consensus among breast surgeons?,no,no,True,['no'],5
pubmed_419,Does the sequence of clamp application during open abdominal aortic aneurysm surgery influence distal embolisation?,no,yes,False,['yes'],5
pubmed_420,Discharging patients earlier from Winnipeg hospitals: does it adversely affect quality of care?,no,yes,False,['yes'],5
pubmed_421,Surgical management of the atherosclerotic ascending aorta: is endoaortic balloon occlusion safe?,no,no,True,['no'],5
pubmed_422,Is there a relationship between serum paraoxonase level and epicardial fat tissue thickness?,no,maybe,False,['maybe'],5
pubmed_423,Do antibiotics decrease post-tonsillectomy morbidity?,no,no,True,['no'],5
pubmed_424,Should prostate specific antigen be adjusted for body mass index?,no,no,True,['no'],5
pubmed_425,Is it necessary to insert a nasobiliary drainage tube routinely after endoscopic clearance of the common bile duct in patients with choledocholithiasis-induced cholangitis?,no,no,True,['no'],5
pubmed_426,Have antiepileptic drug prescription claims changed following the FDA suicidality warning?,no,no,True,['no'],5
pubmed_427,Are high flow nasal cannulae noisier than bubble CPAP for preterm infants?,no,maybe,False,['maybe'],5
pubmed_428,Are the arginine vasopressin V1a receptor microsatellites related to hypersexuality in children with a prepubertal and early adolescent bipolar disorder phenotype?,no,no,True,['no'],5
pubmed_429,Are variations in the use of carotid endarterectomy explained by population Need?,no,maybe,False,['maybe'],5
pubmed_430,Do supervised colorectal trainees differ from consultants in terms of quality of TME surgery?,no,no,True,['no'],5
pubmed_431,Major depression and alcohol use disorder in adolescence: Does comorbidity lead to poorer outcomes of depression?,no,yes,False,['yes'],5
pubmed_432,Perioperative care in an animal model for training in abdominal surgery: is it necessary a preoperative fasting?,no,maybe,False,['maybe'],5
pubmed_433,Metastatic carcinoma to the cervical nodes from an unknown head and neck primary site: Is there a need for neck dissection?,no,yes,False,['yes'],5
pubmed_434,Does Viral Co-Infection Influence the Severity of Acute Respiratory Infection in Children?,no,no,True,['no'],5
pubmed_435,Cardiopulmonary bypass temperature does not affect postoperative euthyroid sick syndrome?,no,yes,False,['yes'],5
pubmed_436,Xanthogranulomatous cholecystitis: a premalignant condition?,no,maybe,False,['maybe'],5
pubmed_437,Does septoplasty change the dimensions of compensatory hypertrophy of the middle turbinate?,no,no,True,['no'],5
pubmed_438,Prescriptions as a proxy for asthma in children: a good choice?,no,maybe,False,['maybe'],5
pubmed_439,Does combining antiretroviral agents in a single dosage form enhance quality of life of HIV/AIDS patients?,no,yes,False,['yes'],5
pubmed_440,Does desflurane alter left ventricular function when used to control surgical stimulation during aortic surgery?,no,no,True,['no'],5
pubmed_441,Is fluoroscopy essential for retrieval of lower ureteric stones?,no,no,True,['no'],5
pubmed_442,Does the treatment of amblyopia normalise subfoveal choroidal thickness in amblyopic children?,no,no,True,['no'],5
pubmed_443,Should tumor depth be included in prognostication of soft tissue sarcoma?,no,no,True,['no'],5
pubmed_444,Does performance in selection processes predict performance as a dental student?,no,no,True,['no'],5
pubmed_445,"Antiretroviral therapy related adverse effects: Can sub-Saharan Africa cope with the new ""test and treat"" policy of the World Health Organization?",no,no,True,['no'],5
pubmed_446,"Expression of c-kit protooncogen in hepatitis B virus-induced chronic hepatitis, cirrhosis and hepatocellular carcinoma: has it a diagnostic role?",maybe,maybe,True,['maybe'],5
pubmed_447,Can calprotectin predict relapse risk in inflammatory bowel disease?,maybe,yes,False,['yes'],5
pubmed_448,Does shaving the incision site increase the infection rate after spinal surgery?,maybe,maybe,True,['maybe'],5
pubmed_449,Antral follicle assessment as a tool for predicting outcome in IVF--is it a better predictor than age and FSH?,maybe,maybe,True,['maybe'],5
pubmed_450,Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,maybe,yes,False,['yes'],5
pubmed_451,Do parents recall and understand children's weight status information after BMI screening?,maybe,no,False,['no'],5
pubmed_452,Do Web-based and clinic samples of gay men living with HIV differ on self-reported physical and psychological symptoms?,maybe,maybe,True,['maybe'],5
pubmed_453,Are home sampling kits for sexually transmitted infections acceptable among men who have sex with men?,maybe,maybe,True,['maybe'],5
pubmed_454,Does rugby headgear prevent concussion?,maybe,no,False,['no'],5
pubmed_455,Does body mass index (BMI) influence morbidity and long-term survival in gastric cancer patients after gastrectomy?,maybe,yes,False,['yes'],5
pubmed_456,Is determination between complete and incomplete traumatic spinal cord injury clinically relevant?,maybe,yes,False,['yes'],5
pubmed_457,Does use of hydrophilic guidewires significantly improve technical success rates of peripheral PTA?,maybe,yes,False,['yes'],5
pubmed_458,"Are lifetime prevalence of impetigo, molluscum and herpes infection really increased in children having atopic dermatitis?",maybe,no,False,['no'],5
pubmed_459,Can routinely collected ambulance data about assaults contribute to reduction in community violence?,maybe,yes,False,['yes'],5
pubmed_460,Is irritable bowel syndrome a diagnosis of exclusion?,maybe,yes,False,['yes'],5
pubmed_461,Is a patient's self-reported health-related quality of life a prognostic factor for survival in non-small-cell lung cancer patients?,maybe,yes,False,['yes'],5
pubmed_462,Vaginal dose assessment in image-guided brachytherapy for cervical cancer: Can we really rely on dose-point evaluation?,maybe,maybe,True,['maybe'],5
pubmed_463,Is there a role for endothelin-1 in the hemodynamic changes during hemodialysis?,maybe,yes,False,['yes'],5
pubmed_464,Is vitamin D insufficiency or deficiency related to the development of osteochondritis dissecans?,maybe,maybe,True,['maybe'],5
pubmed_465,Does timing of initial surfactant treatment make a difference in rates of chronic lung disease or mortality in premature infants?,maybe,no,False,['no'],5
pubmed_466,Is it Crohn's disease?,maybe,maybe,True,['maybe'],5
pubmed_467,Do French lay people and health professionals find it acceptable to breach confidentiality to protect a patient's wife from a sexually transmitted disease?,maybe,yes,False,['yes'],5
pubmed_468,Can patients be anticoagulated after intracerebral hemorrhage?,maybe,maybe,True,['maybe'],5
pubmed_469,Do elderly patients call 911 when presented with clinical scenarios suggestive of acute stroke?,maybe,no,False,['no'],5
pubmed_470,Are opioid dependence and methadone maintenance treatment (MMT) documented in the medical record?,maybe,no,False,['no'],5
pubmed_471,Should chest wall irradiation be included after mastectomy and negative node breast cancer?,maybe,maybe,True,['maybe'],5
pubmed_472,Does managed care enable more low income persons to identify a usual source of care?,maybe,no,False,['no'],5
pubmed_473,Is the cell death in mesial temporal sclerosis apoptotic?,maybe,yes,False,['yes'],5
pubmed_474,Does vaginal intraepithelial neoplasia have the same evolution as cervical intraepithelial neoplasia?,maybe,maybe,True,['maybe'],5
pubmed_475,Does government assistance improve utilization of eye care services by low-income individuals?,maybe,yes,False,['yes'],5
pubmed_476,HIF1A as a major vascular endothelial growth factor regulator: do its polymorphisms have an association with age-related macular degeneration?,maybe,maybe,True,['maybe'],5
pubmed_477,Detailed analysis of sputum and systemic inflammation in asthma phenotypes: are paucigranulocytic asthmatics really non-inflammatory?,maybe,maybe,True,['maybe'],5
pubmed_478,Do Surrogates of Injury Severity Influence the Occurrence of Heterotopic Ossification in Fractures of the Acetabulum?,maybe,maybe,True,['maybe'],5
pubmed_479,Does obstructive sleep apnea affect aerobic fitness?,maybe,maybe,True,['maybe'],5
pubmed_480,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,maybe,yes,False,['yes'],5
pubmed_481,Combining process indicators to evaluate quality of care for surgical patients with colorectal cancer: are scores consistent with short-term outcome?,maybe,maybe,True,['maybe'],5
pubmed_482,Are the elderly with oropharyngeal carcinoma undertreated?,maybe,no,False,['no'],5
pubmed_483,Do older patients receive adequate stroke care?,maybe,no,False,['no'],5
pubmed_484,Continuation of pregnancy after antenatal corticosteroid administration: opportunity for rescue?,maybe,maybe,True,['maybe'],5
pubmed_485,Should HIV-infected patients be screened for silent myocardial ischaemia using gated myocardial perfusion SPECT?,maybe,yes,False,['yes'],5
pubmed_486,Is a specialised training of phonological awareness indicated in every preschool child?,maybe,maybe,True,['maybe'],5
pubmed_487,BCRABL transcript detection by quantitative real-time PCR : are correlated results possible from homebrew assays?,maybe,no,False,['no'],5
pubmed_488,Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,maybe,maybe,True,['maybe'],5
pubmed_489,Does the familial transmission of drinking patterns persist into young adulthood?,maybe,maybe,True,['maybe'],5
pubmed_490,Bactericidal activity of 3 cutaneous/mucosal antiseptic solutions in the presence of interfering substances: Improvement of the NF EN 13727 European Standard?,maybe,no,False,['no'],5
pubmed_491,Does ultrasound imaging before puncture facilitate internal jugular vein cannulation?,maybe,yes,False,['yes'],5
pubmed_492,Can a practicing surgeon detect early lymphedema reliably?,maybe,no,False,['no'],5
pubmed_493,Is perforation of the appendix a risk factor for tubal infertility and ectopic pregnancy?,maybe,yes,False,['yes'],5
pubmed_494,Does perspective-taking increase patient satisfaction in medical encounters?,maybe,maybe,True,['maybe'],5
pubmed_495,Sternal fracture in growing children : A rare and often overlooked fracture?,maybe,yes,False,['yes'],5
pubmed_496,Midwives' competence: is it affected by working in a rural location?,maybe,yes,False,['yes'],5
pubmed_497,Does the severity of obstructive sleep apnea predict patients requiring high continuous positive airway pressure?,maybe,yes,False,['yes'],5
pubmed_498,Does self-efficacy mediate the relationship between transformational leadership behaviours and healthcare workers' sleep quality?,maybe,no,False,['no'],5
